id,name,slug
12,Alemania,alemania
32,Andorra,andorra
36,Argelia,argelia
33,Austria,austria
11,Bélgica,belgica
24,Brasil,brasil
30,Camerún,camerun
20,Canadá,canada
18,China,china
34,Colombia,colombia
5,Dinamarca,dinamarca
15,Emiratos Árabes Unidos,emiratos-arabes-unidos
6,España,espana
23,Estados Unidos,estados-unidos
35,Etiopía,etiopia
37,Filipinas,filipinas
9,Francia,francia
44,Ghana,ghana
1,Gran Bretaña,gran-bretana
667,Grecia,grecia
42,Guinea Bissau,guinea-bissau
43,Guinea Ecuatorial,guinea-ecuatorial
7,Holanda,holanda
21,India,india
4,Irlanda,irlanda
22,Italia,italia
26,Jordania,jordania
40,Kazajistan,kazajistan
16,Luxemburgo,luxemburgo
38,Malasia,malasia
8,Malta,malta
19,Marruecos,marruecos
13,México,mexico
41,Mónaco,monaco
2,Nigeria,nigeria
27,Noruega,noruega
28,Nueva Zelanda,nueva-zelanda
10,Panamá,panama
31,Paraguay,paraguay
3,Portugal,portugal
14,Rumanía,rumania
39,Rusia,rusia
17,Suecia,suecia
29,Suiza,suiza
25,Uruguay,uruguay
