id,name,level
18,alemán,A1
17,alemán,A2
16,alemán,B1
15,alemán,B2
14,alemán,C1
13,alemán,C2
174,árabe,A1
173,árabe,A2
172,árabe,B1
171,árabe,B2
170,árabe,C1
169,árabe,C2
48,canadiense,A1
47,canadiense,A2
46,canadiense,B1
45,canadiense,B2
44,canadiense,C1
43,canadiense,C2
90,castellano,A1
89,castellano,A2
88,castellano,B1
87,castellano,B2
86,castellano,C1
85,castellano,C2
66,catalán,A1
65,catalán,A2
64,catalán,B1
63,catalán,B2
62,catalán,C1
61,catalán,C2
162,checo,A1
161,checo,A2
160,checo,B1
159,checo,B2
158,checo,C1
157,checo,C2
36,chino,A1
35,chino,A2
34,chino,B1
33,chino,B2
32,chino,C1
31,chino,C2
102,danés,A1
101,danés,A2
100,danés,B1
99,danés,B2
98,danés,C1
97,danés,C2
156,eslovaco,A1
155,eslovaco,A2
154,eslovaco,B1
153,eslovaco,B2
152,eslovaco,C1
151,eslovaco,C2
96,español,A1
95,español,A2
94,español,B1
93,español,B2
92,español,C1
91,español,C2
60,euskera,A1
59,euskera,A2
58,euskera,B1
57,euskera,B2
56,euskera,C1
55,euskera,C2
132,finés,A1
131,finés,A2
130,finés,B1
129,finés,B2
128,finés,C1
127,finés,C2
12,francés,A1
11,francés,A2
10,francés,B1
9,francés,B2
8,francés,C1
7,francés,C2
72,gallego,A1
71,gallego,A2
70,gallego,B1
69,gallego,B2
68,gallego,C1
67,gallego,C2
120,holandés,A1
119,holandés,A2
118,holandés,B1
117,holandés,B2
116,holandés,C1
115,holandés,C2
6,inglés,A1
5,inglés,A2
4,inglés,B1
3,inglés,B2
2,inglés,C1
1,inglés,C2
24,italiano,A1
23,italiano,A2
22,italiano,B1
21,italiano,B2
20,italiano,C1
19,italiano,C2
42,japonés,A1
41,japonés,A2
40,japonés,B1
39,japonés,B2
38,japonés,C1
37,japonés,C2
138,lapón,A1
137,lapón,A2
136,lapón,B1
135,lapón,B2
134,lapón,C1
133,lapón,C2
168,maltés,A1
167,maltés,A2
166,maltés,B1
165,maltés,B2
164,maltés,C1
163,maltés,C2
126,noruego,A1
125,noruego,A2
124,noruego,B1
123,noruego,B2
122,noruego,C1
121,noruego,C2
150,polaco,A1
149,polaco,A2
148,polaco,B1
147,polaco,B2
146,polaco,C1
145,polaco,C2
54,portugués,A1
53,portugués,A2
52,portugués,B1
51,portugués,B2
50,portugués,C1
49,portugués,C2
144,rumano,A1
143,rumano,A2
142,rumano,B1
141,rumano,B2
140,rumano,C1
139,rumano,C2
30,ruso,A1
29,ruso,A2
28,ruso,B1
27,ruso,B2
26,ruso,C1
25,ruso,C2
108,sueco,A1
107,sueco,A2
106,sueco,B1
105,sueco,B2
104,sueco,C1
103,sueco,C2
114,suizo,A1
113,suizo,A2
112,suizo,B1
111,suizo,B2
110,suizo,C1
109,suizo,C2
84,valenciano,A1
83,valenciano,A2
82,valenciano,B1
81,valenciano,B2
80,valenciano,C1
79,valenciano,C2
78,vasco,A1
77,vasco,A2
76,vasco,B1
75,vasco,B2
74,vasco,C1
73,vasco,C2
