CODAUTO,Comunidad Autónoma,CPRO,Provincia
1,Andalucía,4,Almería
1,Andalucía,11,Cádiz
1,Andalucía,14,Córdoba
1,Andalucía,18,Granada
1,Andalucía,21,Huelva
1,Andalucía,23,Jaén
1,Andalucía,29,Málaga
1,Andalucía,41,Sevilla
2,Aragón,22,Huesca
2,Aragón,44,Teruel
2,Aragón,50,Zaragoza
3,Principado de Asturias,33,Asturias
4,Islas Baleares,7,Islas Baleares
5,Canarias,35,Las Palmas
5,Canarias,38,Santa Cruz de Tenerife
6,Cantabria,39,Cantabria
7,Castilla y León,5,Ávila
7,Castilla y León,9,Burgos
7,Castilla y León,24,León
7,Castilla y León,34,Palencia
7,Castilla y León,37,Salamanca
7,Castilla y León,40,Segovia
7,Castilla y León,42,Soria
7,Castilla y León,47,Valladolid
7,Castilla y León,49,Zamora
8,Castilla - La Mancha,2,Albacete
8,Castilla - La Mancha,13,Ciudad Real
8,Castilla - La Mancha,16,Cuenca
8,Castilla - La Mancha,19,Guadalajara
8,Castilla - La Mancha,45,Toledo
9,Cataluña,8,Barcelona
9,Cataluña,17,Girona
9,Cataluña,25,Lleida
9,Cataluña,43,Tarragona
10,Comunidad Valenciana,3,Alicante
10,Comunidad Valenciana,12,Castellón
10,Comunidad Valenciana,46,Valencia
11,Extremadura,6,Badajoz
11,Extremadura,10,Cáceres
12,Galicia,15,A Coruña
12,Galicia,27,Lugo
12,Galicia,32,Ourense
12,Galicia,36,Pontevedra
13,Comunidad de Madrid,28,Madrid
14,Región de Murcia,30,Murcia
15,Comunidad Foral de Navarra,31,Navarra
16,País Vasco,1,Álava
16,País Vasco,48,Vizcaya
16,País Vasco,20,Guipúzcoa
17,La Rioja,26,La Rioja
