capital_id,country_id,id,name,slug
6152,6,1,Andalucía,andalucia
8113,6,2,Aragón,aragon
5252,6,5,Canarias,canarias
5823,6,6,Cantabria,cantabria
6934,6,8,Castilla - La Mancha,castilla-la-mancha
7415,6,7,Castilla y León,castilla-y-leon
881,6,9,Cataluña,cataluna
4356,6,13,Comunidad de Madrid ,comunidad-de-madrid
4815,6,15,Comunidad Foral de Navarra,comunidad-foral-de-navarra
7219,6,10,Comunidad Valenciana,comunitat-valenciana
712,6,11,Extremadura,extremadura
2198,6,12,Galicia,galicia
836,6,4,Islas Baleares,illes-balears
4124,6,17,La Rioja,la-rioja
46,6,16,País Vasco,pais-vasco
5009,6,3,Principado de Asturias,principado-de-asturias
4588,6,14,Región de Murcia,region-de-murcia
