category,city_id,city_name,created_at,description,id,link,name,offers,resume,slug,updated_at
Metal del Valle de Ayala,,,2020-01-28 22:27:04.079733+00:00,Importante empresa del Metal del Valle de Ayala,1536,,,,Importante empresa del Metal del Valle de Ayala,,2020-01-28 22:27:04.079768+00:00
,,,2020-01-29 04:40:40.167165+00:00,Consultora de RRHH y formación,1792,,,,Consultora de RRHH  y formación,,2020-01-29 04:40:40.167196+00:00
,,,2020-01-29 18:17:59.335546+00:00,"Multinacional del sector del vending, precisa incorporar Reponedores-Conductores con discapacidad (mínimo 33%) para dar servicios a los proyectos de Navarra",2048,,,,Multinacional sector Vending,,2020-01-29 18:17:59.335585+00:00
Outsourcing,,,2020-01-29 22:09:32.805887+00:00,Empresa líder en el sector de refrescos y bebidas selecciona DELEGADO DE VENTAS para zona Cataluña. Buscamos un perfil con dilatada experiencia en el sector de Gran Consumo y con excelente llegada a Distribución Moderna de la zona,2304,,,,Empresa de Outsourcing,,2020-01-29 22:09:32.805916+00:00
,,,2020-01-28 22:27:25.098671+00:00,"Empresa dedicada a la instalación y mantenimiento de equipos de calefacción y climatización situada en Marchamalo, Guadalajara",1537,,,,Importante empresa del sector,,2020-01-28 22:27:25.098699+00:00
Outsourcing y Trabajo Temporal,,,2020-01-29 04:41:18.164777+00:00,Importante grupo empresarial del sector de Outsourcing y Trabajo Temporal,1793,,,,Importante grupo empresarial del sector de Outsourcing y Trabajo Temporal,,2020-01-29 04:41:18.164843+00:00
,,,2020-01-29 18:19:45.259977+00:00,Faster,2049,,,,Faster,,2020-01-29 18:19:45.260017+00:00
Sector de Bebidas,,,2020-01-29 22:09:38.671437+00:00,Importante Empresa del Sector de la Bebida,2305,,,,Empresa del Sector de Bebidas,,2020-01-29 22:09:38.671466+00:00
Marketing y Comunicación,,,2020-01-30 17:41:21.128085+00:00,Empresa de Marketing y Comunicación,2817,,,,Empresa de Marketing y Comunicación,,2020-01-30 17:41:21.128123+00:00
Sector Energético,,,2020-01-28 22:33:17.743909+00:00,"Empresa líder en el sector energético, analiza la factura de la luz para ver si la contratación es correcta  ofreciendo un ahorro en la factura, realiza altas de gas, revisiones de gas en los hogares, reparaciones de electrodomésticos..",1538,,,,Empresa Líder en el Sector Energético,,2020-01-28 22:33:17.743951+00:00
Facility Services,,,2020-01-29 18:19:54.603401+00:00,"Grupo SIFU somos la empresa líder de Facility Services especializada en la integración laboral de personas con discapacidad física, psíquica, mental o sensorial. Presentes en todo el territorio nacional y con más de 20 años de experiencia contamos con una plantilla de más de 3.000 profesionales, de los cuales un 90% tiene algún tipo de discapacidad",2050,,,,Importante empresa,,2020-01-29 18:19:54.603439+00:00
,2065.0,Cordoba,2020-01-29 22:09:56.694843+00:00,Empresa dedicada al asesoramiento de seguros,2306,,,,Seguros,,2020-01-29 22:09:56.694876+00:00
sector alimentación,,,2020-01-30 17:41:27.382031+00:00,Empresa del sector alimentación,2818,,,,Empresa del sector alimentación,,2020-01-30 17:41:27.382066+00:00
sector energético,,,2020-01-28 22:33:28.798062+00:00,"Empresa experta en el sector energético, estudia la factura de la luz ofreciendo un ahorro en la misma. Realiza altas de gas, revisiones de la instalación del gas, reparación de electrodomésticos de gama blanca............",1539,,,,Empresa líder en el sector energético,,2020-01-28 22:33:28.798103+00:00
Outsourcing y Trabajo Temporal,,,2020-01-29 04:41:59.626053+00:00,Importante empresa de Outsourcing y Trabajo Temporal,1795,,,,Importante empresa de Outsourcing y Trabajo Temporal,,2020-01-29 04:41:59.626090+00:00
Consultoría,,,2020-01-30 17:41:48.679279+00:00,Empresa de Consultoría,2819,,,,Empresa de Consultoría,,2020-01-30 17:41:48.679317+00:00
Sector Energético,,,2020-01-28 22:33:48.683100+00:00,"Empresa líder en el sector energético, analiza la factura de la luz para ver si la contratación es correcta  ofreciendo un ahorro en la factura, realiza altas de gas, revisiones de gas en los hogares, reparaciones de electrodomésticos.........",1540,,,,Empresa Líder en el Sector Energético,,2020-01-28 22:33:48.683148+00:00
,,,2020-01-29 18:21:31.937435+00:00,Multinacional del sector Vending precisa incorporar un Conductor-Reponedor para Barcelona,2052,,,,Multinacional sector Vending,,2020-01-29 18:21:31.937472+00:00
Sector Servicios,,,2020-01-29 22:10:44.208671+00:00,Empresa consultora de RRHH y selección,2308,,,,Empresa del Sector Servicios,,2020-01-29 22:10:44.208701+00:00
sector Restauración de Colectividades,,,2020-01-30 03:31:06.244710+00:00,"Empresa dedicada al Sector de la Restauración Colectiva precisa incorporar cocineras/os para trabajar en nuestros centros de trabajo, tales como colegios, comunidades religiosas, residencias, eventos, …",2564,,,,Importante empresa del sector Restauración de Colectividades,,2020-01-30 03:31:06.244744+00:00
Tecnología,,,2020-01-30 17:41:55.436459+00:00,Empresa de Tecnología,2820,,,,Empresa de Tecnología,,2020-01-30 17:41:55.436496+00:00
,,,2020-01-28 22:34:36.506498+00:00,Multinacional del sector del vending precisa incorporar un Técnico de Calle para su delegación de Torrejón de Ardoz,1541,,,,Multinacional del sector Vending,,2020-01-28 22:34:36.506539+00:00
,,,2020-01-29 18:22:56.458209+00:00,Multinacional del sector Vending precisa incorporar un Reponedor-Conductor para su delegación de Vitoria,2053,,,,Multinacional sector Vending,,2020-01-29 18:22:56.458253+00:00
Gas y Energía,,,2020-01-29 22:10:52.941222+00:00,"Empresa colaboradora de Gas y Energía en proceso de expansión, selecciona profesionales de Atención al Cliente Presencial para visitar a clientes",2309,,,,Empresa Líder en el Sector,,2020-01-29 22:10:52.941252+00:00
sector Restauración de Colectividades,,,2020-01-30 03:31:13.457496+00:00,"Empresa dedicada al Sector de la Restauración Colectiva precisa incorporar cocineras/os para trabajar en nuestros centros de trabajo, tales como colegios, comunidades religiosas, residencias, eventos, comedores de empresa y cocinas centrales",2565,,,,Importante empresa del sector Restauración de Colectividades,,2020-01-30 03:31:13.457565+00:00
sector de limpieza,,,2020-01-30 17:42:26.313926+00:00,"Selecciona limpiadores para manejo de maquinaria de limpieza en varios hoteles de Mogán. Sustitución de vacaciones de forma ininterrumpida desde febrero hasta octubre de 2020. Jornada de 30 horas semanales en turno de mañana de lunes a viernes.
Imprescindible poseer vehículo propio",2821,,,,Importante empresa del sector de limpieza,,2020-01-30 17:42:26.313977+00:00
,,,2020-01-28 22:35:10.722170+00:00,Multinacional del sector del vending precisa incorporar un Técnico de Calle para su delegación de Zaragoza,1542,,,,Multinacional sector Vending,,2020-01-28 22:35:10.722211+00:00
Madrid,,,2020-01-29 04:46:16.482234+00:00,"Asesoría de empresas situada a las afueras de Madrid, necesita persona con experiencia para el Departamento Laboral",1798,,,,Asesoría en Madrid,,2020-01-29 04:46:16.482270+00:00
Outsourcing,,,2020-01-29 22:11:47.321657+00:00,"Empresa líder en el sector energético en plena expansión, con más de 50 empleados",2310,,,,Empresa de Outsourcing,,2020-01-29 22:11:47.321688+00:00
sector de Restauración de Colectividades,,,2020-01-30 03:32:17.018773+00:00,"Empresa dedicada al Sector de la Restauración Colectiva precisa incorporar auxiliares de colectividades para trabajar en nuestros centros de trabajo, tales como colegios, comunidades religiosas, residencias, eventos, …",2566,,,,Importante empresa del sector de Restauración de Colectividades,,2020-01-30 03:32:17.018812+00:00
maquinaria para el embotellado,,,2020-01-28 22:36:09.213384+00:00,empresa de maquinaria para el embotellado,1543,,,,empresa de maquinaria para el embotellado,,2020-01-28 22:36:09.213418+00:00
,,,2020-01-29 18:24:46.598357+00:00,Jobandtalent,2055,,,,Jobandtalent,,2020-01-29 18:24:46.598404+00:00
,,,2020-01-29 22:12:46.342306+00:00,Empresa dedicada a la gestión e implementación de servicios generales,2311,,,,Importante Empresa sector Servicios,,2020-01-29 22:12:46.342349+00:00
Outsoucing en Valencia,,,2020-01-30 03:32:38.278393+00:00,Empresa de Outsoucing en Valencia,2567,,,,Empresa de Outsoucing en Valencia,,2020-01-30 03:32:38.278426+00:00
Outsourcing,,,2020-01-28 22:36:57.097192+00:00,"Somos una empresa líder en Ventas y Márketing en España. Con más de 10 años de experiencia, contamos con oficinas de Atención al Cliente de Naturgy en Jerez de la Frontera y Puntos de Servicio en Granada y Jaén",1544,,,,Empresa de Outsourcing,,2020-01-28 22:36:57.097228+00:00
