,id,province,country,name,slug,latitude,longitude
0,8828,,12,  Renania-Palatinado,,,
1,8624,,1, Alredores Southampton ,,,
2,8815,,1, Alredores de Londres ,,,
3,8805,,3, Azores ,,,
4,8481,,1, Bangor,,,
5,8729,,4, Bangor ,,,
6,8626,,1, Basingstoke,,,
7,8423,,4, Belfast,,,
8,8419,,12, Berlin ,,,
9,8793,,1, Birmingham,,,
10,8776,,1, Birmingham ,,,
11,8788,,1, Blackpool,,,
12,8796,,1, Bournemouth,,,
13,8589,,1, Brighton,,,
14,8574,,1, Bristol ,,,
15,8867,,9, Diversas ciudades en Francia ,,,
16,8573,,1, Edinburgh,,,
17,8416,,12, Estugarda,,,
18,8781,,1, Exeter,,,
19,8810,,1, Glasgow,,,
20,8763,,1, Gravesend ,,,
21,8627,,1, Guildford,,,
22,8642,,1, Guildford ,,,
23,8502,,4, Irlanda del Norte ,,,
24,8618,,1, Irlanda del Norte ,,,
25,8804,,3, Isla Faial,,,
26,8579,,23, Juno Beach ,,,
27,8789,,1, Kendal ,,,
28,8758,,1, Kent ,,,
29,8571,,1, Leicester,,,
30,8797,,1, London,,,
31,8418,,12, Luneburg,,,
32,8430,,1, Luton,,,
33,8540,,1, Luton ,,,
34,8541,,1, Manchester,,,
35,8572,,1, Newcastle,,,
36,8482,,1, Newtownwards ,,,
37,8490,,23, North Dakota ,,,
38,8777,,1, Northampton,,,
39,8591,,1, Norwich,,,
40,8567,,23, Orlando,,,
41,8578,,23, Palm Beach,,,
42,8568,,23, Palm Beach ,,,
43,8868,,10, Panamá ,,,
44,8477,,27, Polonia ,,,
45,8590,,1, Portsmouth,,,
46,8794,,1, Reading ,,,
47,8775,,1, Rugby,,,
48,8811,,1, Southampton,,,
49,8843,,1, St Albans ,,,
50,8506,,1, St. Albans,,,
51,8850,,9, Séverac le Château and Narbonnes ,,,
52,8489,,23, Texas,,,
53,8607,,1, Twickenham ,,,
54,8837,,1, UK ,,,
55,8613,,1, Uxbridge ,,,
56,8431,,1, Watford ,,,
57,8841,,1, Watford - alredores de Londres ,,,
58,8616,,23, West Palm Beach,,,
59,8637,,1, Wimbledon ,,,
60,8628,,1, Winchester ,,,
61,8417,,12, Wofsburg,,,
62,8780,,1, Woking,,,
63,8798,,1, Woking ,,,
64,8605,,1, alrededores de Londres ,,,
65,8594,,1, alredores de Londres ,,,
