id,level,name
53,A2,alemán
13,B1,alemán
12,B2,alemán
10,C1,alemán
3,C2,alemán
20,B1,catalán
16,B2,catalán
32,C1,catalán
31,C2,catalán
28,B1,chino
19,C2,chino
54,A2,español
6,B1,español
39,B2,español
23,C1,español
21,C2,español
30,A2,euskera
17,B1,euskera
33,B2,euskera
40,C1,euskera
46,C2,euskera
14,A2,francés
7,B1,francés
11,B2,francés
5,C1,francés
45,C2,francés
42,B2,gallego
51,C2,gallego
15,B1,holandés
49,C2,holandés
18,A2,inglés
2,B1,inglés
4,B2,inglés
1,C1,inglés
22,C2,inglés
9,B1,italiano
36,B2,italiano
35,C1,italiano
25,C2,italiano
44,B1,japonés
50,C1,polaco
8,B1,portugués
48,B2,portugués
37,C1,portugués
26,C2,portugués
52,B1,rumano
47,A2,ruso
29,B1,ruso
41,B2,ruso
34,C1,ruso
24,C2,ruso
27,C1,sueco
43,B1,vasco
38,B1,árabe
